"InfluencerStandardized","standardizedCount","influencerList","platform","description"
"enzo","10","enzo, Enzo, ENZO, tenz, wenzo","youtube_account","Mijn naam is Enzo Knol en ik upload hier wekelijks gamevideo’s! 

Mijn eigen merchandise ➜ http://bit.ly/knolpowermerch

Hier plaats ik soms ook wat leuks
➜ Instagram: http://bit.ly/InstagramEnzoKnol
➜ Twitter: http://bit.ly/TwitterEnzoKnol
➜ Snapchat: enzoknol"
"giolatooy","10","gio latooy, Gio latooy, Gio Latooy, giolatooy, gio lattoy, giolattooy","youtube_account","N/A"
"matthy","10","matthy, Matthy, Matthy., mathy","youtube_account","Die ene Brabander die onderdeel is van de Bankzitters! 

Mijn naam is Robbie, en op mijn kanaal maak ik allerlei soorten hutserige filmpjes. Soms over FIFA, F1 of een andere game. Maar ook zal er regelmatig een video voorbij komen waar ik vol entertainment reageer op programma's of andere gekke dingen! Verder zijn er ook challenges te vinden die ik maak samen met de Bankzitters!

ABONNEER!
"
"acid","9","acid, Acid, ACID, ACID (2)., Acid 2, ACID 2, AYD, ac/dc","youtube_account","dit channel is kapot very sad

chek mn tweede channel"
"airrack","9","airrack, Airrack, Airrack., Airack","youtube_account","Unknown"
"gametheory","9","game theory, Game Theory, Game theory., GameTheory, Gametheory.","youtube_account","Hello Internet! Welcome to GAME THEORY! If you’re like us, then you’ve probably wondered about the secrets hidden in your favorite games. We explore the vast lore of Minecraft, piece together the craziest FNAF conspiracies, and cover the whole world of indie gaming on this channel. Join the ORIGINAL Team Theorist and Level up by hitting subscribe!

For even more theories, check out our other channels: Food Theory, Film Theory, and Style Theory!

We have a strict policy on image use for our videos, which includes only using images licensed for reuse. If we use fanart we try to find a proper source to credit the artist, but sometimes things slip through. If you think we have used your art without your permission please let us know on the Game Theorist subreddit.
"
"pewdiepie","9","pewdiepie, PewDiePie, PEWDIEPIE, pewdiepei, pewdipi","youtube_account","PewdiePie Highlights and Shorts
"
"prive","9","prive","youtube_account","N/A"
"smiiy","9","smii7y, smii7Y, Smii7y, smi77y, Smi77y, Smiity., Smiizy","youtube_account","Welcome to SMii7Yplays!

A channel where I explore some of the weirdest and story driven games available that don't really fit on my main channel.

Use code S7 on Gamer Supps for 10% OFF your order! https://gamersupps.gg/s7
"
"twisty","9","twisty, Twisty, Twisty., twist","youtube_account","Ik ben Thomas, leuk dat je op mijn kanaal kijkt! Ik ben de hoogste rank in Rocket League en ik maak video’s die jou zullen helpen om beter te worden in Rocket League. Abonneer als je niets wil missen ⬇️."
"voetbal","9","voetbal, footbal","youtube_account","N/A"
"markrober","8"," mark rober, @Mark Rober, mark rober, Mark rober, Mark Rober, markrobert","youtube_account","Welcoming ALL the future engineers and creators! Visit CrunchLabs.com
"
"chainsfr","8","chainsfr, Chainsfr, ChainsFR, chains","youtube_account","i love you"
"ferless","8","fe4rless, Fe4rless, Fe4rLess, Fearless","youtube_account","Unknown"
"frankvd","8","frank V D, Frank vd, frankvd, Frankvd","youtube_account","Hoi, ik ben Frank (20).
Mijn hobby is om filmpjes te maken met een mooi/humoristisch verhaal, meestal voor amusement maar ook om mensen te laten inspireren en een boodschap door te geven. 
Al vanaf mijn jonge jaren ben ik al met filmpjes bezig, tot op de dag van vandaag ben ik vast besloten om hier mijn carrière van te maken.

Zakelijk: teamfrank@scooperz.nl

insta: https://www.instagram.com/frankvd/?hl=en

tiktok: https://www.tiktok.com/@frankvd_yt?lang=en

Gear: Sony A7C, DJI Air2S, Canon M50, Zhiyun weebill S.
Editing software: Adobe Premiere Pro, After Effects, Davinci Resolve en Photoshop"
"grian","8","grian, Grian","youtube_account","Unknown"
"idk","8","idk, ik, Ik, Mick, mick 2, Mick., dirk, pink","youtube_account","Baby Scale"
"mystoryanimated","8","my story animated, My story animated, MY STORY ANIMATED, mystoryanimated","youtube_account","We create short movies about life, business, and relationships we hope you like them. don't forget to subscribe. "
"ronald","8","ronald, Ronald, ronaldo","youtube_account","Abonneer op mijn hoofdkanaal: https://www.youtube.com/user/HetGamePortaal"
"supergaande","8","supergaande, Supergaande, suppergande","youtube_account","N/A"
"walnut","8","walnut, Walnut, WALNUT","youtube_account","Beter dan Walnut"
"ziggo","8","ziggo, Ziggo, Ziggo., Fiago","youtube_account","N/A"
"bender","7","@BENDER, bender, Bender, Berner415","youtube_account","Stream highlights. "
"brugklas","7","brugklas, Brugklas TV","youtube_account","Dit is het officiële YouTubekanaal van Brugklas! 
Elke dinsdag vind je hier een nieuwe exclusieve video, elke vrijdag vind je hier een nieuwe weekupdate! 

Krijg jij ook geen genoeg van Brugklas? Abonneer je dan nu op dit kanaal en volg ons op Insta (@BrugklasTV) en Toktok (@brugklas.toktok)! 

Brugklas seizoen 13 is vanaf 2 september weer elke schooldag te zien op NPO Zapp.

Brugklas is de eerste scripted-reality jeugdserie in Nederland, waarin een vaste groep leerlingen gevolgd wordt tijdens het eerste jaar van de middelbare school. Brugklas is voor schoolgaande kinderen met herkenbare en aangrijpende verhalen."
"dailydoseofinternet","7","daily dose of internet, Daily dose of internet, Daily Dose of Internet","youtube_account","This is YOUR Daily Dose of Gaming"
"dantdm","7","Dan tdm, dantdm, Dantdm, DanTDM, dangdo","youtube_account","Unknown"
"dutchtuber","7","DUTCH TUBER, dutchtuber, Dutchtuber, Dutchtuber., dutchuber, Dutchuber","youtube_account","Ik speel spelletjes zoals Minecraft en Roblox met veel plezier en enthousiasme! Kijk je mee?

Business inquiries: dutchtuberzakelijk@gmail.com

Dit kanaal staat onder toezicht van het Commissariaat voor de Media
Accountnaam: Dutchtuber2
E-mail: Hieronder te vinden
"
"ninja","7","ninja, Ninja","youtube_account","Tyler ""Ninja"" Blevins is a professional Battle Royale Player and Streamer. He currently is playing Fortnite, Valorant, and Warzone
*Accomplishments*
- 1st Place Fortnite Celebrity Pro-Am Tournament E3 2018
- 1st Place PUBG Squads Gamescom Invitational 2017
- 2nd Place H1Z1 5s Dreamhack 2017
- 1st Place H1Z1 Invitational 2015
- 1st Place Halo 4 Dallas 2012
- 1st Place AGL 8 Knoxville

He is known for his goofy energetic personality and his incredible impressions.

Be sure to check out the official #TeamNinja brand: www.teamninja.com 

CIO @ $GAME
"
"altijdmelvin","6","altijdmelvin, Altijdmelvin","youtube_account","Welkom op mijn kanaal AltijdMelvin!
Ik ben Melvin, 26 jaren jong en ik maak video's voor ieders vermaak! Ik upload op een wekelijkse ratio verscheidene (indie horror) games en horror video's. Ook reageer ik op horror video's zoals Life of Luxury en ben ik groot fan van Until Dawn en Five Nights at Freddy's.

Als je helemaal nieuw hier bent en je wilt op de hoogte zijn van al mijn toekomstige avonturen, vergeet je dan zeker niet te abonneren. 

En voor zakelijke interesse ben ik bereikbaar op: melvin@sideagency.nl

Tot bij de volgende video!"
"awfireworks","6","aw fireworks, Aw fireworks, Aw Fireworks, AW fireworks","youtube_account","Wij maken leuke sfeervolle vuurwerk video's! 

"
"cemi","6","cemi, Cemi, rema, Rema","youtube_account","Subscribe For New Videos Every Day ⚽️⤵️

Hi, my name is Celine & I love football! Welcome to my channel where you'll see all kind of challenges! Enjoy 🥳"
"danielweyers","6","daniel weyers, Daniel Weyers., danielweyers, daniel wyers","youtube_account","N/A"
"dannyaarons","6","Danny aarons, Danny Aarons, Danny Aarons., dannyaarons","youtube_account","My Daily RTG Channel!
"
"dudeperfect","6","dude perfect, dude-perfect, dudeperfect","youtube_account","Official channel for all things Dude Perfect Gaming! ⚡️🎧
"
"dylanhaegens","6","dylan haegens, Dylan Haegens, dylanhaegens, Dylanhaegens, DylanHaegens, dylan heagens, dylan hagens","youtube_account","N/A"
"fazerug","6","faze rug, Faze Rug, FaZe Rug, FazeRug","youtube_account","My goal is to make you forget about your problems when you watch my vids 😃

Spread Positivity Always ❤️

Business Inquiries: njayaram@excelsm.com
"
"fortnite","6","fortnite, Fortnite","youtube_account","Build, explore, and squad up for a new survival crafting game inside Fortnite! #LEGOFortnite rated E10+ EVERYONE, PEGI 7

Unlock a #LEGOFortnite Style when you link your Epic Games and LEGO accounts

The game is built for players of all ages and is rated:

ESRB (North America) E10+
USK (Germany) 12
PEGI (Europe & UK) 7
CERO (Japan) A
ACB (Australia) PG
OFLC (New Zealand) PG
ClassInd (Brazil) 10+
GRAC (South Korea) 12
"
"jacksepticeye","6","jacksepticeye, Jacksepticeye, jackseptieye","youtube_account","I play videogames but I also make other content like Try not to laugh, reacting to tik toks, meme review and IRL content. A lot of people come to my channel for long let's plays, especially for Sony Exclusive games from Playstation."
"jordanmatter","6","jordan matter, Jordan Matter, Jordan Matter., jordanmatter","youtube_account","My daughter has taken over my channel!"
"kallmekris","6","kall me kris, kallmekris, Kallmekris, Call me Kris.","youtube_account","Whats Good Tube...My Name is Kris, 20 years old from Dayton, Ohio. 

I come to the Tube alot because, i like to see crazy shit, funny shit, weird shit, cute shit, dumb shit, sick shit, old shit, new shit, etc...aswell as Talent, and Opinions. So if i comment on ya video or you happened to catch a comment that i left,..go ahead and tell me how u feel.

p.s...Fuck a racist person, you dig?

www.myspace.com/kris_twin_2"
"lazarbeam","6","lazarbeam, Lazarbeam, LazarBeam, lazerbeam","youtube_account","Extra LazarBeam content thats too scuffed for my main channel
Business Inquiries - LazarBeam@night.co
"
"makkers","6","makkers, Makkers, de makkers, demakkers","youtube_account","Welkom op het officiële EXTRA YouTube kanaal van de Makkers. Op dit kanaal vind je content van de Makkers die helaas het hoofdkanaal niet heeft gehaald. "
"marijnkuipers","6","marijn kuipers, Marijn kuipers, Marijn Kuipers, martijn kuipers","youtube_account","MIJN SOCIALS
Persoonlijke Instagram: https://www.instagram.com/marijnkuipe...
Persoonlijke Tiktok: https://www.tiktok.com/@marijnkuipers? 
Fitness instagram: https://www.instagram.com/gymarijn/
E-mail: marijn@gamechangers.nl
"
"nicolelaeno","6","nicole laeno, Nicole laeno, Nicole Laeno, nicolelaeno","youtube_account","NEW VIDEOS EVERY SUNDAY @ 12PM PST!
Enjoy vlogs, challenges, & more!

Dad - Noel
Mom - Linda
Brother - Christian
Sister - Nicole
Dog - Sadie
"
"samsulek","6","sam sulek, Sam Sulek, Samsaiek","youtube_account","Bodybuilding Content 

Insta: sam_sulek
Tiktok: https://www.tiktok.com/@sam_sulek?_t=8Ywdq9BmTD1&_r=1"
"svenenkoen","6","sven en koen, Sven en koen","youtube_account","Yow,
Wij zijn Sven en Koen en dit is ons 2e youtube kanaal!
Op dit youtube kanaal gaan wij de tofste video's maken en laten wij zien wat we doen in onze vrije tijd!

We houden erg veel van mooie auto's en dat zal je regelmatig terug zien op dit kanaal!

Ben je al geabonneerd? waarom niet?"
"taylorswift","6","Taylor swift, Taylor Swift, taylorswift, Taylorswift","youtube_account","All’s fair in love and poetry... New album THE TORTURED POETS DEPARTMENT. 
Out April 19 🤍

"
"auziomf","5","Auzio MF, auziomf, Auziomf, Auzio","youtube_account","EAFC Content Creator 😎

Thanks for the support ❤️
"
"clix","5","clix, Clix, ali a, ali b","youtube_account","Welcome to my Official Second Channel! Here you will find a variety of different videos based on content from my Twitch streams!"
"clonnygames","5","clonny games, Clonny games, clonnygames","youtube_account","✪ Welkom op Clonny Games! Mijn naam is Dante en op dit kanaal upload ik video's van gameplay, unboxings, vlogs etc."
"dafuqboom","5","Dafuq Boom, DaFuq!?Boom!, DaFuq?!Boom, DaFuq?!Boom!, dafuqboom","youtube_account","DaFuq!?Boom!

40 MILLION SUBSCRIBERS - 30th March 2024
30 MILLION SUBSCRIBERS - 19th September 2023
25 MILLION SUBSCRIBERS - 17th August 2023
20 MILLION SUBSCRIBERS - 18th July 2023
10 MILLION SUBSCRIBERS - 7th June 2023
5 MILLION SUBSCRIBERS - 15th May 2023
1 MILLION SUBSCRIBERS - 5:43 A.M., 23rd November 2021
900k subscribers 4th April 2021
700k subscribers 19th July 2020
200 MILLION VIEWS IN TOTAL - 2nd April 2020
600k subscribers 27th March 2020
500k subscribers 23rd November 2019
100 MILLION VIEWS IN TOTAL  - 12 April 2019
300k subscribers - 27 February 2019
35 million views in total - 08/02/2018
50k subscribers - 12/04/2017
10 million views in total - 11/28/2017
30k subscribers - 08/03/2017
3 million views in total - 07/11/2017
20k subscribers - 07/05/2017
10k subscribers - 05/18/2017
"
"furtjuh","5","furtjuh, Furtjuh","youtube_account","Druk snel op de abonneer knop, dan zie je elke donderdag om 16:00u mijn nieuwste video!

Rutger Vink (Furtjuh) staat onder toezicht van het Commissariaat voor de Media. Contact opnemen kan via amber@theagent-c.amsterdam.
"
"jelly","5","jelly, Jelly, Jelly., Jell, Jolly","youtube_account","Unknown"
