"UserID","age","gender","school_year","education_type4","smoking_frequency","vaping_frequency","cannabis_days","online_gambling","drunk_lifetime","ever_used_laughing_gas","ever_used_other_drugs","breakfast_days","energy_drink_days","fruit_days","vegetable_days","water_days","sports_club","sports_leisure","gaming_frequency","friends_alcohol","friends_smoking","friends_cannabis","school_safety","school_theft","school_cannabis","school_drug_dealing","feels_happy","future_confidence_categories","handles_stress_well","has_mental_health_issues","often_lonely","recovers_quickly","tiktok_use","youtube_use","instagram_account1","instagram_account2","instagram_account3","tiktok_account1","tiktok_account2","tiktok_account3","youtube_account1","youtube_account2","youtube_account3","inf_category_content_creator___influencer","inf_category_brand___media_channel","inf_category_music_artist","inf_category_athlete___influencer","inf_theme_lifestyle___personal","inf_theme_comedy___entertainment","inf_theme_sports___football","inf_theme_fashion___beauty","inf_theme_music___performance","inf_theme_gaming","inf_theme_news___commentary","inf_theme_entertainment___stunts","inf_theme_fitness___health","inf_theme_business","inf_scope_other","inf_scope_netherlands","inf_scope_rotterdam_region"
1700844,NA,1,4,"Vmbo-gt","Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Not Every Day","At least Once a Week","(Almost) never","5 days per week","Not Every Day","2 or 3 days per week","Less than 1 day per week","(Almost) never","None","None","None","Strongly agree","Never","Almost never","Never","Yes (score 4 or 5)"," (Very) high trust in their own future (score 8 or higher)","No, finds it difficult / neutral","No","(Almost) never / Sometimes","No / Neutral",3,2,"selma omari","cestmocro",NA,"yade anna","nour wiersum","miljoenairs style","enzoknol","gio","laatkommers",62.5,12.5,0,0,25,12.5,6.25,12.5,0,6.25,6.25,6.25,0,0,0,50,25
1702363,"13 years old",1,2,"Vmbo-bk","Smoked","Vaped","Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Not Every Day","At least Once a Week",NA,"(Almost) never","Unknown","1 day per week","1 day per week","(Almost) never","(Almost) all",NA,"Most",NA,"Never","Never","Never","Yes (score 4 or 5)","Little to no trust in their own future (score 5 or lower)","No, finds it difficult / neutral","Yes","(Almost) never / Sometimes","Yes",3,3,"jorlanny","ashanti","cx.shely","cx.shely","jorlanny","ashanti","iknowyerl","jayna and jayda","ken and mel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703269,"13 years old",1,2,"Vmbo-bk","Never Smoked","Never Vaped","Never Used Cannabis","No","Drunk","Never Used Laughing Gas","No","Not Every Day","At least Once a Week",NA,"(Almost) never","Unknown","4 to 6 days per week","2 or 3 days per week","(Almost) never","Most","None","None","Disagree","Often","Often","Often","No, feels (very) unhappy or neutral (score 1, 2, or 3)","Moderate/fair trust in their own future (score 6 or 7)","No, finds it difficult / neutral","Yes","(Almost) never / Sometimes","No / Neutral",3,1,"Chris brown","Tyla",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703736,"16 years old",1,4,"Vmbo-gt","Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Not Every Day","(Almost) never","(Almost) never","(Almost) never","Not Every Day","(Almost) never","(Almost) never","(Almost) never","Some","Most","Some","Neither agree nor disagree","Almost never","Often","Almost never","No, feels (very) unhappy or neutral (score 1, 2, or 3)","Moderate/fair trust in their own future (score 6 or 7)","No, finds it difficult / neutral","Yes","(Almost) never / Sometimes","No / Neutral",1,2,"Badalee_","Rkive","JM",NA,NA,NA,"Nicole Laeno","Daiz",NA,60,0,0,0,20,10,0,20,0,10,0,0,0,0,60,0,0
1706002,"13 years old",1,2,"Vmbo-bk","Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Not Every Day","(Almost) never","Every day","2 days per week","Not Every Day","1 day per week","2 or 3 days per week","(Almost) every day","Some","Some","None","Agree","Never","Never","Never","Yes (score 4 or 5)","Moderate/fair trust in their own future (score 6 or 7)","No, finds it difficult / neutral","No","(Almost) never / Sometimes","Yes",3,2,NA,NA,NA,"dave","bryson tiller","morena","wto","coryxkenshin","nought",33.3333333333333,0,16.6666666666667,0,8.33333333333333,8.33333333333333,0,0,16.6666666666667,16.6666666666667,0,0,0,0,33.3333333333333,0,16.6666666666667
1707720,"15 years old",1,4,"Vmbo-bk","Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Every Day","(Almost) never","4 days per week","3 days per week","Every day","2 or 3 days per week","2 or 3 days per week","1 day per week","None","None","None","Agree","Never","Never","Never","Yes (score 4 or 5)"," (Very) high trust in their own future (score 8 or higher)","Yes, does not find it difficult","No","(Almost) never / Sometimes","Yes",3,2,"cestmocro","ariana grande","josylvio",NA,NA,NA,NA,NA,NA,0,33.3333333333333,33.3333333333333,0,0,0,16.6666666666667,0,33.3333333333333,0,16.6666666666667,0,0,0,33.3333333333333,33.3333333333333,0
1700212,"14 years old",2,2,"Havo","Never Smoked","Never Vaped","Never Used Cannabis","Yes but not for money","Never Drunk","Never Used Laughing Gas","No","Not Every Day","(Almost) never","5 days per week","Every day","Every day","2 or 3 days per week","2 or 3 days per week","4 or 5 days per week","Some","None","Some","Strongly agree","I don't know","I don't know","I don't know","Yes (score 4 or 5)"," (Very) high trust in their own future (score 8 or higher)","No, finds it difficult / neutral","No","(Almost) never / Sometimes","Yes",1,3,NA,NA,NA,NA,NA,NA,"Mrbeast","chatmo","Sam&Colby",66.6666666666667,0,0,0,0,33.3333333333333,0,0,0,0,0,33.3333333333333,0,0,33.3333333333333,33.3333333333333,0
1700428,"16 years old",2,4,"Vmbo-gt","Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Every Day","(Almost) never","3 days per week","3 days per week","Every day","4 to 6 days per week","4 to 6 days per week","2 or 3 days per week","Some","Some","None","Neither agree nor disagree","Never","Sometimes","Almost never","Yes (score 4 or 5)","Moderate/fair trust in their own future (score 6 or 7)","Yes, does not find it difficult","No",NA,"Yes",3,2,"Mathieu van der poel","Dylan groenenwegen","Team jumbo visma","Gcn","La vuelta","Chris froome",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700730,"14 years old",2,2,"Vmbo-bk","Never Smoked","Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Every Day","At least Once a Week","4 days per week","Every day","Every day","2 or 3 days per week","2 or 3 days per week","(Almost) every day","Some","Some","None","Neither agree nor disagree","Sometimes","Never","Never","Yes (score 4 or 5)","Little to no trust in their own future (score 5 or lower)","No, finds it difficult / neutral","Yes","Often / (Almost) always","Yes",3,3,NA,NA,NA,"xcaratuclanx","pain_hub","mansory","dangdo","hanwee","milanknol",50,0,0,0,5.55555555555556,13.8888888888889,0,0,0,22.2222222222222,0,8.33333333333333,0,0,33.3333333333333,16.6666666666667,0
1700735,"16 years old",2,4,"Vmbo-bk","Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Not Every Day","At least Once a Week","4 days per week","5 days per week","Not Every Day","2 or 3 days per week","2 or 3 days per week","Less than 1 day per week","None","None","None","Strongly agree","Almost never","Often","Almost never","Yes (score 4 or 5)"," (Very) high trust in their own future (score 8 or higher)","Yes, does not find it difficult","No","(Almost) never / Sometimes","Yes",3,3,"mobicep","selma omari","cestmocro",NA,NA,NA,"don","gio","qucee",66.6666666666667,16.6666666666667,0,0,33.3333333333333,25,8.33333333333333,8.33333333333333,0,0,8.33333333333333,0,0,0,0,33.3333333333333,50
1700884,"14 years old",2,2,"Havo","Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Not Every Day","(Almost) never","5 days per week","Every day","Every day","4 to 6 days per week","Every day","4 or 5 days per week","None","None","None","Strongly agree","Never","I don't know","Never","Yes (score 4 or 5)"," (Very) high trust in their own future (score 8 or higher)","Yes, does not find it difficult","No","(Almost) never / Sometimes","Yes",3,3,"ronaldo",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,100,50,0,50,0,0,0,0,0,0,0,100,0,0
1700934,"15 years old",2,4,"Vmbo-bk","Smoked","Vaped","Never Used Cannabis","Yes but not for money","Drunk","Never Used Laughing Gas","No","Every Day","(Almost) never","1 day per week",NA,"Not Every Day","Less than 1 day per week","1 day per week","4 or 5 days per week","Most",NA,"Most","Agree","Often","Never","Never","Yes (score 4 or 5)","Little to no trust in their own future (score 5 or lower)","Yes, does not find it difficult","No","(Almost) never / Sometimes","Yes",3,2,"50cent","migos","yrntakeoff","kai cenat","elfanum","AMP",NA,NA,NA,16.6666666666667,16.6666666666667,0,0,0,8.33333333333333,16.6666666666667,0,0,8.33333333333333,0,0,0,0,33.3333333333333,0,0
1701102,"14 years old",2,2,"Vmbo-bk","Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Every Day","(Almost) never","Every day","Every day","Every day","4 to 6 days per week","Every day","(Almost) every day","None","None","None","Agree","Never","Never","Never","Yes (score 4 or 5)"," (Very) high trust in their own future (score 8 or higher)","Yes, does not find it difficult","No","(Almost) never / Sometimes","Yes",3,2,"ronaldo","messi","neymar",NA,NA,NA,NA,NA,NA,0,0,0,33.3333333333333,16.6666666666667,0,16.6666666666667,0,0,0,0,0,0,0,33.3333333333333,0,0
1701430,"13 years old",2,2,"Vmbo-bk","Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Every Day","At least Once a Week","Every day","4 days per week","Every day","(Almost) never","Every day","4 or 5 days per week","Some","None","Some","Agree","Often","Often",NA,"No, feels (very) unhappy or neutral (score 1, 2, or 3)"," (Very) high trust in their own future (score 8 or higher)","No, finds it difficult / neutral","No","Often / (Almost) always","No / Neutral",0,3,NA,NA,NA,NA,NA,NA,"proffesorlive","dharr man","mrbeast",66.6666666666667,0,0,0,0,33.3333333333333,0,0,0,0,0,33.3333333333333,0,0,66.6666666666667,0,0
1701601,NA,2,4,"Havo","Never Smoked","Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Not Every Day","(Almost) never","3 days per week","Every day","Not Every Day","(Almost) never","Less than 1 day per week","2 or 3 days per week","Some","Some","Some","Agree","Never","Sometimes","I don't know","Yes (score 4 or 5)"," (Very) high trust in their own future (score 8 or higher)","Yes, does not find it difficult","No","(Almost) never / Sometimes","Yes",3,3,NA,NA,NA,"vaseline noodles","joe batalozzi","Spooky Sivart","Ls mark","Cosmonout variety hours","Shaffrillas productions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1701826,"17 years old or older",2,4,"Vmbo-bk","Smoked","Vaped","Used Cannabis","No","Drunk","Never Used Laughing Gas","No","Not Every Day","At least Once a Week","(Almost) never","(Almost) never","Not Every Day","(Almost) never","Every day","(Almost) never","Most","Most","Some","Disagree","Often","Often","Often","Yes (score 4 or 5)","Little to no trust in their own future (score 5 or lower)","Yes, does not find it difficult","No","(Almost) never / Sometimes","Yes",3,3,NA,NA,NA,NA,NA,NA,"erra vlogs",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1701911,"14 years old",2,2,"Vmbo-gt","Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Not Every Day","At least Once a Week","3 days per week","3 days per week","Not Every Day","(Almost) never","(Almost) never","(Almost) every day","None","None","None","Neither agree nor disagree","Never","Never","Never","No, feels (very) unhappy or neutral (score 1, 2, or 3)","Little to no trust in their own future (score 5 or lower)","No, finds it difficult / neutral","No","(Almost) never / Sometimes","No / Neutral",3,3,NA,NA,NA,"noahglenncarter","yegigglesarus","ellaxox","jivanTV","kenbeans","Mrbeast,Airraick",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702137,"13 years old",2,2,"Havo","Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Every Day","(Almost) never","Every day","Every day","Not Every Day","2 or 3 days per week","Every day","(Almost) never","Some","Most","None","Strongly agree","Never","Never","Never","Yes (score 4 or 5)"," (Very) high trust in their own future (score 8 or higher)","No, finds it difficult / neutral","Yes","(Almost) never / Sometimes","Yes",3,3,NA,NA,NA,"Monster tube","Kleine john","Chatmo","Monster tube","Kleine john","Chatmo",16.6666666666667,16.6666666666667,16.6666666666667,0,0,33.3333333333333,0,0,8.33333333333333,0,0,8.33333333333333,0,0,0,50,0
1702196,"15 years old",2,4,"Vmbo-bk","Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Every Day","(Almost) never","6 days per week","6 days per week","Every day","2 or 3 days per week","Every day","2 or 3 days per week","None","None","None","Strongly agree","Never","Never","Never","Yes (score 4 or 5)"," (Very) high trust in their own future (score 8 or higher)","No, finds it difficult / neutral","No","(Almost) never / Sometimes","Yes",3,3,"Enzoknol","Touzani","Messi",NA,NA,NA,"Enzoknol","Touzani","Jesser",16.6666666666667,0,0,16.6666666666667,8.33333333333333,0,16.6666666666667,0,0,8.33333333333333,0,0,0,0,0,16.6666666666667,16.6666666666667
1702361,"13 years old",2,2,"Vwo","Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Every Day","(Almost) never","Every day","Every day","Every day","4 to 6 days per week","Less than 1 day per week","(Almost) every day","None","None","None","Agree","I don't know",NA,"Often","Yes (score 4 or 5)"," (Very) high trust in their own future (score 8 or higher)","Yes, does not find it difficult","No","(Almost) never / Sometimes","Yes",3,1,NA,NA,NA,"cocomelon","play doh","charli dmailio",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702691,"17 years old or older",2,4,"Vmbo-gt","Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Not Every Day","(Almost) never","3 days per week","6 days per week","Every day","(Almost) never","(Almost) never","2 or 3 days per week","Some","Some","Some","Agree","Sometimes","Almost never","Almost never","No, feels (very) unhappy or neutral (score 1, 2, or 3)","Moderate/fair trust in their own future (score 6 or 7)","No, finds it difficult / neutral","No","(Almost) never / Sometimes","Yes",3,3,NA,NA,NA,"MrBeast","idk","idk","MrBeast","Grian","penguinz0",33.3333333333333,0,0,0,0,0,0,0,0,16.6666666666667,0,16.6666666666667,0,0,33.3333333333333,0,0
1702713,"16 years old",2,4,"Vmbo-bk","Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Every Day","At least Once a Week","6 days per week","4 days per week","Every day","2 or 3 days per week","2 or 3 days per week","2 or 3 days per week","Some","Some","None","Strongly disagree","Never","Sometimes","Often","Yes (score 4 or 5)"," (Very) high trust in their own future (score 8 or higher)","No, finds it difficult / neutral","No","(Almost) never / Sometimes","Yes",3,2,"Sex","Porno","Royalistix Qucee Lihwak",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702743,NA,2,4,NA,"Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Not Every Day","At least Once a Week","5 days per week","Every day","Every day","2 or 3 days per week","2 or 3 days per week","Less than 1 day per week","None","None","None","Agree","Never","Never","Never","Yes (score 4 or 5)"," (Very) high trust in their own future (score 8 or higher)","No, finds it difficult / neutral","No","(Almost) never / Sometimes","Yes",2,2,"mobicepp",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703204,"13 years old",2,2,"Vmbo-gt","Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Every Day","(Almost) never",NA,"4 days per week","Not Every Day","4 to 6 days per week","4 to 6 days per week","2 or 3 days per week","(Almost) all","None","None","Agree","Never","Never","Never","Yes (score 4 or 5)"," (Very) high trust in their own future (score 8 or higher)","Yes, does not find it difficult","No","(Almost) never / Sometimes","Yes",3,3,NA,NA,NA,"ronaldo","messi","Nassim sami","Laatkomers","Chatmo","Kleine john",33.3333333333333,0,16.6666666666667,16.6666666666667,8.33333333333333,33.3333333333333,8.33333333333333,0,8.33333333333333,0,0,8.33333333333333,0,0,16.6666666666667,50,0
1703244,"13 years old",2,2,"Vmbo-bk","Never Smoked","Never Vaped","Never Used Cannabis","Yes but not for money","Never Drunk","Never Used Laughing Gas","No","Every Day","(Almost) never","Every day","6 days per week","Every day","2 or 3 days per week",NA,"(Almost) every day","None","None","None","Neither agree nor disagree","Sometimes","I don't know","I don't know","Yes (score 4 or 5)"," (Very) high trust in their own future (score 8 or higher)","No, finds it difficult / neutral","No","(Almost) never / Sometimes","Yes",3,3,"alperpalit03",NA,NA,"misterfast","zachking",NA,"chatmo","kingalmightyy","troll bebek",33.3333333333333,0,0,0,0,16.6666666666667,0,0,0,0,0,16.6666666666667,0,0,0,33.3333333333333,0
1703392,"14 years old",2,2,NA,"Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Every Day","(Almost) never","5 days per week","5 days per week","Every day","(Almost) never","1 day per week","(Almost) every day","None","None","None","Agree","Sometimes","Almost never","Almost never","Yes (score 4 or 5)"," (Very) high trust in their own future (score 8 or higher)","No, finds it difficult / neutral","No","(Almost) never / Sometimes","Yes",0,3,NA,NA,NA,NA,NA,NA,"Thegamingbeaver","pearlecentmoon","evolution square",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1704340,"13 years old",2,2,"Vmbo-bk","Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Every Day","At least Once a Week","2 days per week","4 days per week","Every day","2 or 3 days per week","1 day per week","Less than 1 day per week","None","Some","None","Agree","Sometimes","Never","Never","Yes (score 4 or 5)","Moderate/fair trust in their own future (score 6 or 7)","No, finds it difficult / neutral","No","(Almost) never / Sometimes","Yes",3,2,"Cestmocro","Isae.nl","Harriesnijders","touzani","Isae","Illiasvietto en charbonnn","Isae","touzani","Laatkomers",22.2222222222222,11.1111111111111,0,11.1111111111111,0,16.6666666666667,16.6666666666667,0,0,0,5.55555555555556,5.55555555555556,0,0,0,33.3333333333333,11.1111111111111
1704689,"15 years old",2,4,"Vmbo-gt","Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Not Every Day","(Almost) never","4 days per week","4 days per week","Every day","2 or 3 days per week","2 or 3 days per week","2 or 3 days per week","None","None","None","Agree","Almost never","Sometimes","Never","Yes (score 4 or 5)","Moderate/fair trust in their own future (score 6 or 7)","Yes, does not find it difficult","No","(Almost) never / Sometimes","Yes",3,3,"cestmocro","fabrizio","Cristiano ronaldo",NA,NA,NA,"nickrunthefutmarket",NA,NA,25,25,0,0,0,0,25,0,0,0,25,0,0,0,25,25,0
1704953,"15 years old",2,4,"Vmbo-gt","Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Not Every Day","At least Once a Week","3 days per week","3 days per week","Not Every Day","2 or 3 days per week","2 or 3 days per week","2 or 3 days per week","None","None","None","Strongly disagree","Never","Never","Never","Yes (score 4 or 5)"," (Very) high trust in their own future (score 8 or higher)","Yes, does not find it difficult","No","(Almost) never / Sometimes","Yes",3,0,"cestmocro","rapnieuws","nos",NA,NA,NA,NA,NA,NA,0,100,0,0,0,0,16.6666666666667,0,16.6666666666667,0,66.6666666666667,0,0,0,0,100,0
1705110,NA,2,4,NA,"Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Not Every Day","At least Once a Week","Every day","4 days per week","Every day","2 or 3 days per week",NA,"1 day per week","None","None","None",NA,"Almost never","I don't know",NA,"Yes (score 4 or 5)"," (Very) high trust in their own future (score 8 or higher)","Yes, does not find it difficult","No","(Almost) never / Sometimes",NA,3,2,"raptv","enzoknol","	parratv","dumpert","enzoknol","touzanitv",NA,NA,NA,16.6666666666667,16.6666666666667,0,16.6666666666667,8.33333333333333,16.6666666666667,16.6666666666667,0,0,8.33333333333333,0,0,0,0,0,33.3333333333333,16.6666666666667
